fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.64499,0.00789,0.00995,0.90251,0.00055,3.18965,0.62439,7.6153,0.52122,1.2827,0.01332,0.70261,0.467,0.0,0.07107,0.43853,0.0,0.0,0.0,0.60204,0.0,0.92638,0.0,0.0
0.64924,0.0103,0.00995,0.89887,0.00052,2.96179,0.87413,7.04725,0.57929,1.51945,0.01385,0.78,0.39721,0.0,0.09183,0.51038,0.0,0.0,0.0,0.51516,0.0,0.83469,0.0,0.0
0.64558,0.00988,0.00882,0.93833,0.00058,2.96912,0.8,6.61149,0.43281,1.4205,0.01651,0.73656,0.3881,0.0,0.10943,0.47143,0.0,0.0,0.0,0.54899,0.0,0.97623,0.0,0.0
0.64442,0.00988,0.01133,0.93833,0.00054,3.43711,0.8,7.45427,0.50214,2.18514,0.01509,0.70261,0.29412,0.0,0.1,0.56696,0.0,0.0,0.0,0.43364,0.0,0.48783,0.0,0.0
0.64874,0.00988,0.00959,0.92999,0.00045,3.31665,0.77933,7.2962,0.51638,1.40772,0.01524,0.64341,0.43697,0.0,0.09118,0.48721,0.0,0.0,0.0,0.50325,0.0,0.99513,0.0,0.0
0.64162,0.01097,0.01513,0.89886,0.00052,2.41649,0.80818,7.85504,0.3481,1.46268,0.00973,0.73295,0.40388,0.0,0.12369,0.52093,0.0,0.0,0.0,0.51442,0.0,0.81391,0.0,0.0
0.65096,0.01002,0.00981,0.93753,0.00053,3.01459,0.7813,7.68714,0.4916,1.49518,0.01485,0.71589,0.40579,0.0,0.09191,0.45884,0.0,0.0,0.0,0.50606,0.0,0.99744,0.0,0.0
0.64659,0.00996,0.00985,0.93927,0.00051,3.09698,0.80964,6.90031,0.54282,1.47247,0.01656,0.72668,0.39711,0.0,0.10272,0.45311,0.0,0.0,0.0,0.5041,0.0,1.0,0.0,0.0
0.64995,0.00988,0.00995,0.93833,0.00049,2.87922,0.7813,7.00328,0.4658,1.56217,0.0157,0.70867,0.41826,0.0,0.0911,0.49977,0.0,0.0,0.0,0.51442,0.0,0.98032,0.0,0.0
0.64246,0.00965,0.00995,0.94978,0.00052,3.48891,0.72431,6.71893,0.49294,1.55402,0.01465,0.78583,0.40879,0.0,0.10275,0.62412,0.0,0.0,0.0,0.43076,0.0,1.0,0.0,0.0
0.65079,0.01002,0.00739,0.90795,0.00066,1.7694,0.8794,6.07484,0.49122,1.39995,0.01669,0.65974,0.41687,0.0,0.09657,0.42101,0.0,0.0,0.0,0.4843,0.0,1.0,0.0,0.0
0.64504,0.01017,0.00937,0.9563,0.0005,2.96912,0.8358,7.96799,0.52504,1.72879,0.01705,0.65673,0.36255,0.0,0.10197,0.51497,0.0,0.0,0.0,0.52527,0.0,0.97901,0.0,0.0
0.64983,0.01016,0.0071,0.86357,0.00069,1.66885,0.80369,7.24957,0.49122,1.59819,0.01622,0.71047,0.41687,0.0,0.09896,0.3296,0.0,0.0,0.0,0.52046,0.0,0.88464,0.0,0.0
0.64941,0.01002,0.00981,0.93753,0.0005,2.93051,0.82047,7.68714,0.52749,1.39474,0.01521,0.71589,0.40042,0.0,0.09768,0.40862,0.0,0.0,0.0,0.51436,0.0,1.0,0.0,0.0
0.64718,0.00988,0.00908,0.93833,0.00049,2.89746,0.86531,6.97646,0.48141,1.30297,0.01606,0.7106,0.4538,0.0,0.1,0.51003,0.0,0.0,0.0,0.5041,0.0,0.9988,0.0,0.0
0.64789,0.00916,0.00739,0.8966,0.00073,1.6433,0.95,5.39382,0.49122,1.32088,0.01669,0.65974,0.41687,0.0,0.09757,0.42101,0.0,0.0,0.0,0.53379,0.0,1.0,0.0,0.0
0.63667,0.01021,0.00763,0.98,0.00037,1.7694,0.89326,6.77753,0.53218,1.53342,0.01809,0.75336,0.48296,0.0,0.09657,0.40504,0.0,0.0,0.0,0.4557,0.0,1.0,0.0,0.0
0.65103,0.01105,0.00995,0.9115,0.00037,2.63978,0.88893,6.4237,0.50278,1.25954,0.01408,0.81479,0.45244,0.0,0.07728,0.45345,0.0,0.0,0.0,0.4768,0.0,1.0,0.0,0.0
0.64802,0.01053,0.0122,0.95042,0.00047,2.64449,0.73237,7.63213,0.53848,1.34853,0.01485,0.71589,0.39143,0.0,0.09191,0.51694,0.0,0.0,0.0,0.53941,0.0,1.0,0.0,0.0
0.64884,0.01101,0.01003,0.93833,0.00044,3.11303,0.83202,7.39222,0.50278,1.47787,0.01509,0.73742,0.39942,0.0,0.1,0.41344,0.0,0.0,0.0,0.5041,0.0,0.9988,0.0,0.0
0.65143,0.00814,0.0094,0.93833,0.00054,2.96912,0.78062,7.29536,0.43605,1.46153,0.0169,0.51027,0.43163,0.0,0.11142,0.42659,0.0,0.0,0.0,0.54696,0.0,0.8276,0.0,0.0
0.639,0.01071,0.0094,0.97631,0.00053,2.6544,0.87986,7.08555,0.40636,1.46153,0.0169,0.48485,0.43163,0.0,0.13053,0.45757,0.0,0.0,0.0,0.60167,0.0,0.8276,0.0,0.0
0.64917,0.00988,0.01021,0.93833,0.0005,3.67325,0.84061,7.45427,0.53724,1.5,0.01509,0.64872,0.43211,0.0,0.10474,0.48975,0.0,0.0,0.0,0.42415,0.0,0.9988,0.0,0.0
0.64157,0.00995,0.01072,0.97396,0.00053,2.82597,0.59033,7.68714,0.47064,1.66329,0.01457,0.71336,0.35494,0.0,0.09644,0.43621,0.0,0.0,0.0,0.47882,0.0,1.0,0.0,0.0
0.63668,0.00716,0.01398,0.98,0.00036,2.40509,0.95,6.23553,0.50278,1.25954,0.01173,0.76226,0.48161,0.0,0.0884,0.56863,0.0,0.0,0.0,0.38629,0.0,1.0,0.0,0.0
0.64808,0.00814,0.00929,0.93982,0.00054,2.87749,0.76677,7.15125,0.42732,1.46931,0.01727,0.52144,0.4273,0.0,0.11142,0.43035,0.0,0.0,0.0,0.5415,0.0,0.85475,0.0,0.0
0.65075,0.00793,0.00979,0.93131,0.00052,2.98538,0.78442,7.29536,0.43605,1.46609,0.0169,0.51027,0.43163,0.0,0.11418,0.44606,0.0,0.0,0.0,0.55964,0.0,0.83563,0.0,0.0
