epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,1122.54,1.19365,0.69911,1.10821,0.86756,0.84917,0.91953,0.59668,1.25372,0.692,1.18896,0.0091882,0.0091882,0.0091882
84,1133.47,1.1952,0.696,1.10642,0.88016,0.85093,0.92779,0.61394,1.22038,0.66222,1.15577,0.0091783,0.0091783,0.0091783
85,1144.44,1.18522,0.69733,1.11283,0.89924,0.82913,0.92199,0.61624,1.21127,0.66983,1.15211,0.0091684,0.0091684,0.0091684
86,1155.42,1.17899,0.69,1.1023,0.87799,0.83883,0.92775,0.60689,1.22473,0.6572,1.17159,0.0091585,0.0091585,0.0091585
87,1166.35,1.18402,0.69019,1.10578,0.88324,0.86295,0.93217,0.61288,1.23004,0.65468,1.1571,0.0091486,0.0091486,0.0091486
88,1177.32,1.18052,0.68182,1.10177,0.89155,0.84316,0.93109,0.62003,1.20616,0.64065,1.14187,0.0091387,0.0091387,0.0091387
89,1188.4,1.18586,0.6842,1.10535,0.88102,0.86051,0.93523,0.62468,1.21189,0.62647,1.14053,0.0091288,0.0091288,0.0091288
90,1199.44,1.18547,0.69041,1.10322,0.90263,0.84157,0.92913,0.61448,1.22095,0.64655,1.14808,0.0091189,0.0091189,0.0091189
91,1210.38,1.18271,0.68794,1.10789,0.90226,0.84126,0.93322,0.62719,1.1936,0.63938,1.1356,0.009109,0.009109,0.009109
92,1221.41,1.1899,0.69057,1.10349,0.88445,0.85164,0.93017,0.62419,1.20685,0.64844,1.14673,0.0090991,0.0090991,0.0090991
93,1232.43,1.1797,0.6803,1.09632,0.87932,0.85729,0.92991,0.61349,1.22691,0.65459,1.16384,0.0090892,0.0090892,0.0090892
94,1243.43,1.17529,0.68289,1.09433,0.90005,0.83973,0.93147,0.6244,1.2012,0.63668,1.14506,0.0090793,0.0090793,0.0090793
95,1254.48,1.17483,0.68508,1.09454,0.88833,0.85659,0.9366,0.62029,1.21096,0.6378,1.14662,0.0090694,0.0090694,0.0090694
96,1265.47,1.18395,0.68754,1.1018,0.89169,0.8521,0.93105,0.62097,1.21242,0.63201,1.14628,0.0090595,0.0090595,0.0090595
97,1276.46,1.17509,0.67715,1.0933,0.89119,0.85343,0.93501,0.62129,1.21518,0.62816,1.14998,0.0090496,0.0090496,0.0090496
98,1287.39,1.18958,0.68928,1.10535,0.89604,0.83117,0.92687,0.61974,1.20096,0.6501,1.14398,0.0090397,0.0090397,0.0090397
99,1298.58,1.14736,0.66973,1.08766,0.90486,0.84705,0.93801,0.62895,1.19523,0.62444,1.13763,0.0090298,0.0090298,0.0090298
100,1309.6,1.17553,0.67053,1.09407,0.8996,0.84503,0.93151,0.61663,1.22167,0.63551,1.15351,0.0090199,0.0090199,0.0090199
101,1320.56,1.15865,0.66685,1.09171,0.8863,0.87142,0.93606,0.62256,1.22559,0.62192,1.15022,0.00901,0.00901,0.00901
102,1331.76,1.1625,0.66611,1.08654,0.89661,0.85767,0.93479,0.6202,1.20885,0.63295,1.15202,0.0090001,0.0090001,0.0090001
103,1342.79,1.16889,0.67089,1.09374,0.89347,0.84316,0.92837,0.61897,1.22928,0.63534,1.15858,0.0089902,0.0089902,0.0089902
104,1353.75,1.16742,0.67918,1.09553,0.88689,0.858,0.93365,0.62093,1.22115,0.62834,1.15493,0.0089803,0.0089803,0.0089803
105,1364.87,1.1686,0.67103,1.09175,0.88391,0.86337,0.93799,0.62681,1.19559,0.62022,1.13515,0.0089704,0.0089704,0.0089704
106,1375.92,1.177,0.67194,1.09763,0.90359,0.84755,0.9324,0.62591,1.1942,0.62988,1.13832,0.0089605,0.0089605,0.0089605
107,1386.95,1.15903,0.66734,1.09099,0.89094,0.86895,0.93475,0.62141,1.21445,0.62806,1.13876,0.0089506,0.0089506,0.0089506
108,1398.06,1.17046,0.67178,1.09836,0.89571,0.84846,0.93252,0.62668,1.19617,0.63011,1.13855,0.0089407,0.0089407,0.0089407
109,1409.24,1.17548,0.66589,1.09816,0.883,0.85129,0.93106,0.62285,1.19862,0.62793,1.14478,0.0089308,0.0089308,0.0089308
110,1420.39,1.16484,0.6666,1.09465,0.89266,0.86072,0.93645,0.62103,1.21489,0.61907,1.14211,0.0089209,0.0089209,0.0089209
111,1431.52,1.17177,0.66684,1.09288,0.88447,0.8654,0.93571,0.61956,1.21939,0.621,1.15926,0.008911,0.008911,0.008911
112,1442.68,1.17262,0.6644,1.09794,0.88738,0.85728,0.93503,0.62219,1.20363,0.62404,1.14818,0.0089011,0.0089011,0.0089011
113,1453.94,1.15979,0.66088,1.08434,0.90466,0.85808,0.94185,0.62766,1.19968,0.62907,1.14318,0.0088912,0.0088912,0.0088912
114,1465.1,1.15165,0.65789,1.08763,0.89444,0.85598,0.93456,0.62363,1.2033,0.63416,1.14871,0.0088813,0.0088813,0.0088813
115,1476.38,1.15297,0.65168,1.09132,0.89179,0.85005,0.93209,0.62185,1.22024,0.61755,1.15764,0.0088714,0.0088714,0.0088714
116,1487.58,1.15584,0.65498,1.08685,0.90113,0.84352,0.93559,0.62476,1.2021,0.62716,1.14687,0.0088615,0.0088615,0.0088615
117,1498.68,1.15172,0.65093,1.08436,0.89059,0.85113,0.93538,0.62411,1.20439,0.61974,1.13603,0.0088516,0.0088516,0.0088516
118,1509.72,1.15379,0.6503,1.09077,0.88254,0.85553,0.92963,0.61764,1.23308,0.62701,1.15646,0.0088417,0.0088417,0.0088417
119,1520.73,1.14599,0.65231,1.08288,0.90246,0.83681,0.92953,0.61956,1.22297,0.627,1.16287,0.0088318,0.0088318,0.0088318
120,1531.69,1.15668,0.65902,1.09192,0.89024,0.85659,0.93676,0.61964,1.22149,0.62011,1.16558,0.0088219,0.0088219,0.0088219
121,1542.77,1.15253,0.66877,1.08685,0.89612,0.85306,0.93562,0.63006,1.20407,0.60385,1.1361,0.008812,0.008812,0.008812
122,1553.85,1.14249,0.65717,1.08709,0.90283,0.8474,0.93585,0.62132,1.20312,0.62,1.14942,0.0088021,0.0088021,0.0088021
123,1564.86,1.1426,0.64472,1.08252,0.906,0.8579,0.93924,0.62963,1.20448,0.59697,1.14063,0.0087922,0.0087922,0.0087922
124,1575.97,1.14392,0.64533,1.08161,0.89233,0.85871,0.93621,0.62129,1.21542,0.62153,1.14784,0.0087823,0.0087823,0.0087823
125,1586.94,1.14664,0.64851,1.08676,0.89057,0.86401,0.93672,0.62545,1.21216,0.61086,1.14657,0.0087724,0.0087724,0.0087724
126,1598.04,1.14488,0.63989,1.08303,0.89184,0.84759,0.93128,0.61809,1.22783,0.62289,1.15625,0.0087625,0.0087625,0.0087625
127,1609.15,1.14307,0.63941,1.07876,0.87515,0.86507,0.92871,0.61694,1.21548,0.62305,1.15862,0.0087526,0.0087526,0.0087526
128,1620.13,1.14441,0.64146,1.08473,0.89917,0.86624,0.93722,0.62506,1.21477,0.60458,1.14785,0.0087427,0.0087427,0.0087427
129,1631.2,1.14806,0.63962,1.08298,0.8928,0.8467,0.93129,0.6226,1.21193,0.61439,1.1568,0.0087328,0.0087328,0.0087328
130,1642.32,1.13943,0.64196,1.07305,0.89741,0.86206,0.93545,0.62682,1.20718,0.6117,1.14371,0.0087229,0.0087229,0.0087229
131,1653.24,1.14142,0.64182,1.07386,0.8888,0.86112,0.93301,0.623,1.21387,0.61257,1.13781,0.008713,0.008713,0.008713
132,1664.16,1.129,0.63151,1.07518,0.9061,0.84811,0.93021,0.61663,1.23272,0.6186,1.15703,0.0087031,0.0087031,0.0087031
133,1675.03,1.12321,0.64131,1.07923,0.90008,0.84988,0.93347,0.62558,1.21323,0.60534,1.1499,0.0086932,0.0086932,0.0086932
134,1686.39,1.14603,0.63963,1.0807,0.89552,0.86507,0.93412,0.62668,1.20406,0.61365,1.13994,0.0086833,0.0086833,0.0086833
135,1697.43,1.14017,0.63887,1.08569,0.8917,0.85871,0.93507,0.62832,1.21026,0.6083,1.14907,0.0086734,0.0086734,0.0086734
136,1708.03,1.13513,0.63905,1.07759,0.88266,0.86093,0.93183,0.63133,1.19774,0.61056,1.14693,0.0086635,0.0086635,0.0086635
137,1718.76,1.13213,0.63142,1.07764,0.894,0.86096,0.9341,0.61845,1.23878,0.61085,1.16778,0.0086536,0.0086536,0.0086536
138,1729.33,1.12026,0.62666,1.06689,0.91199,0.84599,0.93616,0.62698,1.20896,0.60597,1.13903,0.0086437,0.0086437,0.0086437
139,1739.85,1.11548,0.62715,1.07365,0.89673,0.86188,0.9371,0.62497,1.21102,0.61088,1.13894,0.0086338,0.0086338,0.0086338
140,1750.35,1.13221,0.6343,1.07638,0.89798,0.84882,0.93226,0.61766,1.23319,0.61561,1.17638,0.0086239,0.0086239,0.0086239
141,1760.86,1.12526,0.63162,1.07315,0.90127,0.84705,0.93278,0.61509,1.24137,0.6226,1.16729,0.008614,0.008614,0.008614
142,1771.31,1.11719,0.62023,1.07389,0.89813,0.85956,0.93119,0.6223,1.22753,0.61218,1.14866,0.0086041,0.0086041,0.0086041
143,1781.82,1.12535,0.62768,1.06905,0.90047,0.8467,0.93204,0.62234,1.22547,0.61749,1.1447,0.0085942,0.0085942,0.0085942
144,1792.43,1.13751,0.63353,1.07773,0.90882,0.85205,0.93256,0.62647,1.21553,0.59864,1.1557,0.0085843,0.0085843,0.0085843
145,1802.94,1.11279,0.61656,1.06562,0.88478,0.86789,0.9337,0.62754,1.2135,0.60881,1.14002,0.0085744,0.0085744,0.0085744
146,1813.49,1.14242,0.62958,1.07552,0.89573,0.85572,0.93606,0.62974,1.20851,0.60176,1.1334,0.0085645,0.0085645,0.0085645
147,1823.97,1.13146,0.63664,1.07364,0.89299,0.85185,0.93104,0.61608,1.23418,0.61515,1.15718,0.0085546,0.0085546,0.0085546
148,1834.5,1.1359,0.63885,1.08236,0.89942,0.85605,0.93414,0.62465,1.22272,0.61448,1.16205,0.0085447,0.0085447,0.0085447
149,1845.03,1.12374,0.62246,1.0683,0.88677,0.86189,0.93443,0.62455,1.23103,0.59827,1.16313,0.0085348,0.0085348,0.0085348
150,1855.56,1.12833,0.62714,1.06958,0.90348,0.85977,0.93699,0.62653,1.21924,0.59682,1.1493,0.0085249,0.0085249,0.0085249
151,1866.05,1.11284,0.61649,1.06424,0.90014,0.85729,0.93337,0.6262,1.22349,0.59796,1.15008,0.008515,0.008515,0.008515
152,1876.61,1.11719,0.62108,1.06503,0.90427,0.86421,0.93834,0.62611,1.22457,0.59573,1.14859,0.0085051,0.0085051,0.0085051
153,1887.15,1.1179,0.61827,1.06243,0.89964,0.85176,0.93582,0.62697,1.21786,0.60045,1.15578,0.0084952,0.0084952,0.0084952
154,1897.87,1.12024,0.61351,1.07339,0.90232,0.8474,0.93135,0.62454,1.21824,0.606,1.15398,0.0084853,0.0084853,0.0084853
155,1908.38,1.10908,0.61599,1.0668,0.89762,0.84528,0.93092,0.61992,1.23204,0.60908,1.16282,0.0084754,0.0084754,0.0084754
156,1918.89,1.11445,0.61623,1.07131,0.89804,0.84931,0.93257,0.62133,1.21199,0.60562,1.14889,0.0084655,0.0084655,0.0084655
157,1929.35,1.11663,0.62708,1.07275,0.89818,0.84069,0.92635,0.61953,1.22688,0.61076,1.15148,0.0084556,0.0084556,0.0084556
158,1939.9,1.11479,0.61861,1.06257,0.90465,0.84788,0.93126,0.62662,1.21847,0.6023,1.14544,0.0084457,0.0084457,0.0084457
159,1950.49,1.10493,0.60719,1.06864,0.89376,0.8558,0.934,0.62902,1.21501,0.59163,1.1543,0.0084358,0.0084358,0.0084358
160,1961.09,1.11864,0.61548,1.06142,0.88991,0.86012,0.92984,0.61976,1.22432,0.61212,1.16807,0.0084259,0.0084259,0.0084259
161,1971.85,1.11022,0.61371,1.06831,0.89932,0.85517,0.93113,0.62081,1.22523,0.60166,1.14594,0.008416,0.008416,0.008416
162,1982.4,1.11935,0.61682,1.07111,0.89417,0.86047,0.9334,0.62556,1.22019,0.59386,1.15364,0.0084061,0.0084061,0.0084061
163,1992.95,1.11096,0.61462,1.06075,0.89662,0.86087,0.9355,0.625,1.21061,0.59977,1.13962,0.0083962,0.0083962,0.0083962
164,2003.5,1.1098,0.60901,1.06181,0.88709,0.87001,0.93583,0.62385,1.21924,0.59821,1.15678,0.0083863,0.0083863,0.0083863
165,2014.1,1.11033,0.6128,1.06923,0.88232,0.87001,0.93324,0.6276,1.21533,0.60343,1.14991,0.0083764,0.0083764,0.0083764
166,2024.64,1.10551,0.60662,1.05943,0.90242,0.84285,0.92801,0.61947,1.24502,0.60679,1.17494,0.0083665,0.0083665,0.0083665
167,2035.17,1.09904,0.60504,1.06603,0.89462,0.84917,0.93192,0.62454,1.22329,0.60453,1.15887,0.0083566,0.0083566,0.0083566
168,2045.72,1.10383,0.60358,1.06146,0.8868,0.85506,0.93085,0.62157,1.23211,0.60123,1.16565,0.0083467,0.0083467,0.0083467
169,2056.3,1.09014,0.60172,1.05877,0.89004,0.86061,0.93209,0.61997,1.23188,0.60365,1.16892,0.0083368,0.0083368,0.0083368
170,2066.88,1.10572,0.60763,1.0585,0.90247,0.86083,0.9357,0.6247,1.23718,0.5893,1.15455,0.0083269,0.0083269,0.0083269
171,2077.41,1.09522,0.59096,1.06258,0.90766,0.84034,0.92759,0.62288,1.22589,0.60575,1.15584,0.008317,0.008317,0.008317
172,2087.98,1.09534,0.60003,1.0579,0.88815,0.88073,0.94017,0.62886,1.21938,0.58563,1.14747,0.0083071,0.0083071,0.0083071
173,2098.47,1.1072,0.60429,1.06733,0.90224,0.86062,0.93656,0.62539,1.22901,0.5921,1.1535,0.0082972,0.0082972,0.0082972
174,2109.08,1.09344,0.59771,1.04855,0.89779,0.858,0.93543,0.62397,1.21258,0.59429,1.15216,0.0082873,0.0082873,0.0082873
175,2119.65,1.0956,0.6011,1.05531,0.90181,0.85729,0.93113,0.62088,1.22666,0.59328,1.1469,0.0082774,0.0082774,0.0082774
176,2130.18,1.09961,0.59484,1.05361,0.90334,0.83852,0.93059,0.62264,1.22018,0.60249,1.15273,0.0082675,0.0082675,0.0082675
