fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.65,0.0065,0.0132,0.91473,0.00046,2.08942,0.70474,7.90365,0.61293,1.25351,0.01392,0.7104,0.52212,0.0,0.12441,0.44403,0.0,0.0,0.0,0.39068,0.0,0.87313,0.0,0.0
0.64797,0.00642,0.01191,0.9116,0.0005,2.57872,0.67657,7.16234,0.52161,1.35028,0.01618,0.85699,0.44037,0.0,0.1093,0.38017,0.0,0.0,0.0,0.53176,0.0,1.0,0.0,0.0
0.65509,0.00655,0.01409,0.86042,0.00044,2.95403,0.72731,7.3637,0.56015,1.15707,0.01677,0.68597,0.42293,0.0,0.11181,0.36684,0.0,0.0,0.0,0.45957,0.0,1.0,0.0,0.0
0.6475,0.00676,0.01371,0.86042,0.00045,2.96667,0.72731,7.3637,0.57978,1.05019,0.01575,0.68518,0.43209,0.0,0.10759,0.36684,0.0,0.0,0.0,0.47017,0.0,0.99945,0.0,0.0
0.65424,0.00531,0.01108,0.88337,0.00046,2.55799,0.70474,8.78634,0.61293,1.25351,0.01392,0.77122,0.7185,0.0,0.11413,0.42103,0.0,0.0,0.0,0.2897,0.0,0.91697,0.0,0.0
0.65798,0.00492,0.01222,0.85123,0.00045,2.55799,0.69414,8.35819,0.62828,1.28665,0.01484,0.67167,0.64857,0.0,0.11644,0.45209,0.0,0.0,0.0,0.28389,0.0,0.82448,0.0,0.0
0.65435,0.0041,0.01248,0.85123,0.00046,2.38655,0.6659,9.17296,0.62828,1.25464,0.01454,0.63475,0.71498,0.0,0.11042,0.43256,0.0,0.0,0.0,0.30204,0.0,0.8628,0.0,0.0
0.64982,0.00531,0.0108,0.89094,0.00048,2.56589,0.67892,8.96919,0.61293,1.26639,0.01364,0.77122,0.76969,0.0,0.11174,0.42844,0.0,0.0,0.0,0.28298,0.0,0.91697,0.0,0.0
0.65768,0.00374,0.01108,0.88337,0.00041,1.49406,0.69967,10.4086,0.57888,1.26994,0.0148,0.7518,0.69313,0.0,0.10334,0.40255,0.0,0.0,0.0,0.27207,0.0,1.0,0.0,0.0
0.65499,0.00374,0.00955,0.91898,0.00041,1.55495,0.72661,10.4086,0.63969,1.26994,0.0148,0.76656,0.76199,0.0,0.10334,0.37745,0.0,0.0,0.0,0.2706,0.0,1.0,0.0,0.0
0.65502,0.00655,0.01393,0.85182,0.00044,2.99799,0.73065,7.09609,0.61397,1.19256,0.01621,0.68704,0.42437,0.0,0.11329,0.36121,0.0,0.0,0.0,0.4778,0.0,1.0,0.0,0.0
0.64991,0.00455,0.01306,0.88359,0.00043,1.99991,0.57774,10.33882,0.62828,1.67638,0.01484,0.80615,0.70657,0.0,0.08812,0.45209,0.0,0.0,0.0,0.28389,0.0,0.82448,0.0,0.0
0.65474,0.00369,0.00942,0.90446,0.00047,1.66895,0.74311,10.09004,0.62285,1.10198,0.01516,0.76126,0.69313,0.0,0.10532,0.38305,0.0,0.0,0.0,0.24847,0.0,0.81984,0.0,0.0
0.65245,0.0037,0.01126,0.89851,0.00041,1.27925,0.74428,11.46535,0.56389,1.2472,0.0148,0.7518,0.57636,0.0,0.10939,0.39277,0.0,0.0,0.0,0.27207,0.0,0.9895,0.0,0.0
0.65268,0.003,0.01004,0.94241,0.0004,1.86104,0.69967,10.26566,0.61282,1.362,0.0154,0.62495,0.8009,0.0,0.09298,0.41915,0.0,0.0,0.0,0.27213,0.0,0.81045,0.0,0.0
